bundle,priority,domain,kind,item,recommended,status,version,detail
step0.1-context,,已存在环境包,apt,python3,observed,installed,3.14.3-0ubuntu2,Python 3 interpreter
step0.1-context,,已存在环境包,apt,python3-pip,observed,installed,25.1.1+dfsg-1ubuntu2,pip entry point
step0.1-context,,已存在环境包,apt,python3-numpy,observed,installed,1:2.3.5+ds-3ubuntu1,NumPy (Step 0 carry-over)
step0.1-context,,已存在环境包,apt,python3-pil,observed,installed,12.1.1-2ubuntu1.2,Pillow (Step 0 carry-over)
step0.1-context,,已存在环境包,apt,google-chrome-stable,observed,installed,151.0.7922.137-1,Google Chrome (Step 0 carry-over)
step0.1-context,,已存在环境包,apt,chafa,observed,installed,1.18.1-1,terminal image viewer (Step 0 carry-over)
step0.1-context,,已存在环境包,apt,imagemagick,observed,installed,8:7.1.2.18+dfsg1-1,convert/identify/magick (Step 0 carry-over)
step0.1-context,,已存在环境包,apt,tesseract-ocr,observed,installed,5.5.0-1build1,OCR engine (Step 0 carry-over)
step0.1-context,,已存在环境包,apt,tesseract-ocr-eng,observed,installed,1:4.1.0-2build1,English OCR data (Step 0 carry-over)
step0.1-context,,已存在环境包,apt,ripgrep,observed,installed,15.1.0-1ubuntu1,rg
step0.1-context,,已存在环境包,apt,gh,observed,installed,2.46.0-4,GitHub CLI
step0.1-context,,已存在环境包,apt,curl,observed,installed,8.18.0-1ubuntu2.3,curl
step0.1-context,,已存在环境包,apt,wget,observed,installed,1.25.0-2ubuntu4,wget
step0.1-core,,,cli,python,observed,installed,Python 3.14.4,/usr/bin/python
step0.1-core,,,cli,python3,observed,installed,Python 3.14.4,/usr/bin/python3
step0.1-core,,,cli,pip,observed,installed,pip 25.1.1 from /usr/lib/python3/dist-packages/pip (python 3.14),/usr/bin/pip
step0.1-core,,,cli,pip3,observed,installed,pip 25.1.1 from /usr/lib/python3/dist-packages/pip (python 3.14),/usr/bin/pip3
step0.1-core,,,cli,pytest,step0.1,installed,pytest 9.0.2,/usr/bin/pytest
step0.1-core,,,cli,zip,step0.1,installed,"Copyright (c) 1990-2008 Info-ZIP - Type 'zip ""-L""' for software license.",/usr/bin/zip
step0.1-core,,,cli,unzip,step0.1,installed,"UnZip 6.00 of 20 April 2009, by Debian. Original by Info-ZIP.",/usr/bin/unzip
step0.1-core,,,cli,pngcheck,step0.1,missing,,
step0.1-docs,,,cli,pandoc,step0.1,installed,pandoc 3.7.0.2,/usr/bin/pandoc
step0.1-docs,,,cli,pdftotext,step0.1,installed,pdftotext version 26.01.0,/usr/bin/pdftotext
step0.1-docs,,,cli,pdfinfo,step0.1,installed,pdfinfo version 26.01.0,/usr/bin/pdfinfo
step0.1-docs,,,cli,pdftoppm,step0.1,installed,pdftoppm version 26.01.0,/usr/bin/pdftoppm
step0.1-docs,,,cli,gs,step0.1,installed,10.06.0,/usr/bin/gs
step0.1-docs,,,cli,fc-list,step0.1,installed,fontconfig version 2.17.1,/usr/bin/fc-list
